DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
TFT,3.2,320.0,480.0,android,microsdhc,524288.0,262144.0,Li-Ion,1500.0,1,Yes
TFT,3.6,480.0,800.0,android 2,microsdhc,524288.0,524288.0,Li-Ion,1500.0,1,720
TFT,2.6,320.0,240.0,android 1,microsdhc,524288.0,262144.0,Li-Ion,1500.0,1,Yes
TFT,2.8,240.0,320.0,android 1,microsdhc,524288.0,262144.0,Li-Ion,1500.0,1,Yes
OLED,3.7,480.0,800.0,android 2,microsdhc,2097152.0,524288.0,Li-Ion,1400.0,1,720
TFT,3.5,480.0,800.0,android 2,microsdhc,524288.0,524288.0,Li-Ion,1350.0,1,480
TFT,3.2,320.0,480.0,Microsoft Windows Mobile 6.5.3 Professional,microsd,524288.0,262144.0,Li-Po,1090.0,1,Yes
TFT,3.2,320.0,480.0,android 2,microsd,524288.0,262144.0,Li-Po,1090.0,1,Yes
TFT,3.2,240.0,400.0,Microsoft Windows Mobile 6.5.3,microsd,524288.0,262144.0,Li-Po,970.0,1,Yes
TFT,2.8,240.0,320.0,android 1,microsd,262144.0,262144.0,Li-Ion,1500.0,1,Yes
TFT,3.5,480.0,800.0,android 1,microsdhc,524288.0,262144.0,Li-Ion,1350.0,1,480
TFT,3.8,480.0,800.0,Microsoft Windows Mobile 6.5 Professional,microsdhc,524288.0,262144.0,Li-Po,1350.0,1,480
TFT,3.0,240.0,400.0,Microsoft Windows Mobile 6.5 Professional,microsd,524288.0,262144.0,Li-Ion,1140.0,1,Yes
TFT,3.2,240.0,400.0,Microsoft Windows Mobile 6.5 Professional,microsd,524288.0,262144.0,Li-Ion,1140.0,1,320
TFT,3.2,240.0,400.0,Microsoft Windows Mobile 6.5 Professional,microsd,524288.0,262144.0,Li-Ion,1140.0,1,Yes
TFT,2.8,240.0,320.0,Microsoft Windows Mobile 6.1 Professional,microsd,,,Li-Ion,1260.0,1,No
TFT,3.8,480.0,800.0,Microsoft Windows Mobile 6.1 Professional,microsd,,,Li-Ion,1530.0,1,Yes
TFT,3.8,480.0,800.0,Microsoft Windows Mobile 6.1 Professional,microsd,262144.0,131072.0,Li-Ion,1530.0,1,480
TFT,2.8,480.0,640.0,Microsoft Windows Mobile 6.1 Professional,microsdhc,262144.0,131072.0,Li-Po,1530.0,1,Yes
TFT,2.8,480.0,640.0,Microsoft Windows Mobile 6.1 Professional,microsd,262144.0,131072.0,Li-Po,1530.0,1,Yes
TFT,5.5,720.0,1440.0,android 11,microsdxc,33554432.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,6.1,720.0,1560.0,android 11,microsdxc,33554432.0,2097152.0,Li-Ion,3000.0,1,1080
TFT,5.0,480.0,960.0,android 11,microsdhc,16777216.0,1048576.0,Li-Ion,2000.0,1,720
IPS,6.52,720.0,1600.0,android 11,microsdxc,67108864.0,4194304.0,Li-Po,4000.0,1,1080
IPS,6.52,720.0,1600.0,android 11,microsdxc,33554432.0,3145728.0,Li-Po,4000.0,1,1080
IPS,6.1,720.0,1560.0,android 11,microsdxc,33554432.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,6.52,720.0,1600.0,android 11,microsdxc,67108864.0,2097152.0,Li-Ion,5000.0,1,1080
